content,target
미쉐린이 좆병신이라 생긴 사탠데 욕은 피아가 다 먹은 전설의 경기 ㅋㅋㅋㅋ,1
다른 애들 현역 받고 우울한데 전화로 면제 받았다고 자랑하던 씹새끼 떠오르노 부럽다,1
꼬우면 수능 잘치던가 훠훠 - ,1
이 만화보고 개쫄아서 갔었는데 다행히 불친절하진않았음 ,1
내가 말귀 못알아처먹어서 화낼만도 했는데 요즘은 안저래. ,1
저런거 겪은건 아마 지금 영퐁티새끼들일거임,1
딱히 아픈 것도 없었지만 군의관이 ㄹㄹ 조오오온나 싸가지없이 틱틱대길레,1
"나도 개빡쳐서 ""혹시 까불다가 맞으면 안아프냐?"" 하니까 계속 어 어 거리던 새끼가 네? 이러면서 처음으로 군의관 새끼 얼굴봄",1
"""병신새끼 문앞에서 기다릴테니까 퇴근할때 혼자 나오면 손뭉개버린다"" 갈겨줘도 눈도 못맞주치더라",1
해좆이 나가는 거야 생각했는데 설마 누누신 안 잡을 줄은,1
스탯티즈가 파크팩터 좆같이 구해서 적용하고 욕쳐먹으니까 아예 빼버려서 그것만 봐야했던 거 때문에 그쪽에 익숙해서 그러실 수도 있음,1
생산성 좆도 없는 새끼들이니 걍 최저임금이 딱임,1
싱글벙글갤 병신들 싱글벙글갤 병신들,1
많이 슬프네 어쩌라고 애미터진년들아 하,1
어흐 씹헐년들,1
3번누나 쪼금만 더....더.... 13번 개꼴,1
씨발 다 똑같은 느낌에 다 똑같이 생겼네 진짜,1
저년들은 젖보똥까놓는게 일상이냐?,1
3번 누님 젖통 한번 주물러 보고 싶네,1
군대는 뺀질거리면서 평판 유지하는게 씹씹에이스고 마냥 열심히하는건 걍 윗사람만 흐뭇해하는거임.,1
유도리없는 군대는 자신이건 남이건 누구 한명은 좆되는 엔딩인거 아직도 모르냐? 십 ㅋㅋ,1
아니 한국전쟁 참전자들 취급만 봐도 애국심이 바닥에 처박히는데 노예로 끌려가서 ㅈㄴ 열심히 하는건 정신병자 아니냐?ㅋㅋㅋㅋㅋ,1
지몸 관리도못하면서 군대에서 잘하는건 병신인거고 ㅋㅋ,1
드디어 심진우 병신설이 인정받네. 신병자체가 프로파간다 군뽕 드라마지만 그중 독보적 병신이 심진우 저새끼임,1
군대에서 일 못하던것들이 전역하면 잘할것 같음? 일 못하는것들은 사회나와서도 똑같이 병신인게 대다수임. 군대에선 무리하지말고 적당히가 좋음,1
군대는 최저시급 정도도 안주는 시점에서 무조건 노예행이야 ㅋㅋㅋ 돈부터 제대로 주면서 강제징용하는게 맞지않음? 에이스란 말도 좆같음,1
후임병들 뺑뺑이 돌리고 졸라 패고 하던 새끼 감방가서 빨간줄 끄였는데 그 병신새끼는 자랑스러워 할까?,1
돌아오긴 뭐가 돌아오는데 ㅅㅂㅋㅋㅋ 피해만 안 끼치면 되지 노예라이팅 좆되네,1
군대가 뭔 대가리 쓰거나 기술력 쌓는 일도 아니고 다 단순노동인데 왜 열심히 해 ㅋㅋㅋㅋㅋㅋ 노가다 십장 하려고?,1
어차피 서로 연락도 안하는데 친하게 지내고 개지랄 병신새끼들 ㅋㅋ,1
남에 개새끼짓 하는게 열심히 사는거랑께,1
이 나라에선 안 다쳐서 나오는게 에이스들이다 걍 꼴리는대로 생활해라,1
"여기서 ""이기적이어야 살아남음"" ㅇㅈㄹ 하는 새끼들도 어차피 폐급이라 잘 안된다 ㅇㅇ",1
평소에 앰생짓 하며 인생 씹창내고 군대에서 2~3인분 하는 애들이 미련한거임 ㅋㅋㅋㅋ,1
군대에서는 자기 몸 안 다치는 게 성공한거임 ㅅㅂ,1
군인이 직업이 아닌대 좆빠지게 하는게 미련한거지 ㅠ 프로게이머도 아닌데 하루종일 롤 잡고있는거랑 뭐가 다르노,1
공부를 존나 열심히 했잖아 선택인거지 ㅇㅇ,1
이 나라는 어디 호구새끼 없나 하면서 눈이 벌개져 있음,1
아니 무슨 헬조선 역사를 다 알면서 군대에서 열심히 해??,1
한국에서 한남충 노예계급으로 태어났으면 그냥 노예답게 살아라,1
실베벌레들도 하나같이 이견이 없는거보니 군대 에이스가 사실은 폐급이 맞는거같네요 역시 대한민국 입니다,1
"나도 열심히 해서 에이스 소리듣고, 이새끼는 특전사 갔어야하는 놈이다",1
근데 보통은 저런 편입하는새끼 잘 없고 사람이 습관대로 사는거라서,1
